Player,Team_TransferSite,Age,Position,Skill,Potential,TransferValue_EUR_Millions
Joe Aribo,Southampton,28.0,M (C),63.3,64.1,6.9
Danny Welbeck,Brighton,34.0,F (C),72.1,72.1,6.0
Abdoulaye Doucouré,Everton,32.0,"M, AM (C)",69.1,69.1,5.8
Stefan Ortega,Man City,32.0,GK,61.7,61.7,5.8
Tyrone Mings,Aston Villa,32.0,D (C),69.5,69.5,5.8
Joël Veltman,Brighton,33.0,D (R),74.8,74.8,5.7
Ben Davies,Tottenham,32.0,D (CL),66.4,66.4,5.6
Kieran Trippier,Newcastle Utd.,34.0,D (R),69.5,69.5,5.1
Raúl Jiménez,Fulham,34.0,F (C),68.8,68.8,5.1
Axel Tuanzebe,Ipswich Town,27.0,D (CR),62.4,63.0,4.2
Christian Eriksen,Man Utd,33.0,"M, DM (C)",66.9,66.9,4.2
Matt Doherty,Wolverhampton,33.0,D (R),68.1,68.1,4.2
Jordan Ayew,Leicester,33.0,F (CR),65.5,66.4,4.2
Ryan Manning,Southampton,28.0,"D, M (L)",62.2,62.4,3.9
Conor Coady,Leicester,32.0,D (C),61.3,61.3,2.2
Wes Burns,Ipswich Town,30.0,M (R),64.4,64.4,2.1
Jannik Vestergaard,Leicester,32.0,D (C),61.7,61.7,2.0
Luke Woolfenden,Ipswich Town,26.0,D (C),65.0,68.3,2.0
Cameron Burgess,Ipswich Town,29.0,D (C),61.7,62.8,1.7
Alex Palmer,Ipswich Town,28.0,GK,64.4,67.5,1.6
Adam Smith,B'mouth,34.0,D (R),68.5,68.7,1.5
Craig Dawson,Wolverhampton,35.0,D (C),64.4,64.4,1.5
Jack Stephens,Southampton,31.0,D (CL),60.6,61.0,1.4
Ashley Young,Everton,39.0,D (RL),72.5,72.5,1.3
Sam Morsy,Ipswich Town,33.0,"M, DM (C)",65.0,65.6,1.3
Jamie Vardy,Leicester,38.0,F (C),67.3,69.5,1.0
Łukasz Fabiański,West Ham United,40.0,GK,64.4,64.4,0.9
