Player,Team_TransferSite,Age,Position,Skill,Potential,TransferValueRaw,TransferValue_EUR_Millions
Patrick Dorgu,Man Utd,20.0,"D (CL), M (L)",64.8,81.6,€30.5M,30.5
Wesley Fofana,Chelsea,24.0,D (CR),72.6,77.7,€30.4M,30.4
John Stones,Man City,30.0,D (CR),75.0,76.2,€30.4M,30.4
Jørgen Strand Larsen,Wolverhampton,25.0,F (C),72.5,76.7,€30.3M,30.3
Yves Bissouma,Tottenham,28.0,"DM, M (C)",71.4,71.7,€30M,30.0
Taylor Harwood-Bellis,Southampton,23.0,D (CR),66.9,79.9,€29.9M,29.9
Calvin Bassey,Fulham,25.0,D (CL),73.3,79.3,€29.9M,29.9
Aaron Wan-Bissaka,West Ham United,27.0,"D, M (R)",74.4,75.0,€29.7M,29.7
Kevin Schade,Brentford,23.0,"F (CL), M (L)",71.1,76.5,€29.7M,29.7
André,Wolverhampton,23.0,"DM, M (C)",71.5,79.3,€29.4M,29.4
Oscar Bobb,Man City,21.0,"AM (R), M (C)",55.5,65.4,€29.2M,29.2
Brajan Gruda,Brighton,20.0,"F, M (R), AM (C)",62.8,74.8,€29.2M,29.2
Daniel Muñoz,C. Palace,28.0,"D, M (R)",77.5,77.5,€28.9M,28.9
David Raya,Arsenal,29.0,GK,86.5,86.5,€28.7M,28.7
Heung-min Son,Tottenham,32.0,"F (CL), M (L)",80.9,80.9,€28.6M,28.6
Mikkel Damsgaard,Brentford,24.0,"AM, M (C)",73.4,78.0,€28.6M,28.6
Lewis Miley,Newcastle Utd.,18.0,M (C),59.4,78.1,€28.5M,28.5
Radu Drăguşin,Tottenham,23.0,D (C),69.6,78.5,€28.4M,28.4
Benoît Badiashile,Chelsea,24.0,D (C),70.2,77.6,€28.4M,28.4
Leif Davis,Ipswich Town,25.0,D (L),67.0,73.9,€28.4M,28.4
Dango Ouattara,B'mouth,23.0,"F, M (L), AM (R)",72.9,80.4,€28.2M,28.2
Conor Bradley,Liverpool,21.0,D (R),65.5,75.2,€27.9M,27.9
Sander Berge,Fulham,27.0,"DM, M (C)",72.4,72.7,€27.9M,27.9
Omari Giraud-Hutchinson,Ipswich Town,21.0,M (CR),64.9,79.9,€27.6M,27.6
Axel Disasi,Aston Villa,27.0,D (CR),69.1,69.7,€27.5M,27.5
Keane Lewis-Potter,Brentford,24.0,"F, D, M (L)",71.8,77.4,€27.3M,27.3
Kevin Danso,Tottenham,26.0,D (C),72.6,74.2,€27.2M,27.2
Lesley Ugochukwu,Southampton,21.0,"DM, M (C)",62.1,74.4,€27.1M,27.1
Dwight McNeil,Everton,25.0,"AM (C), M (CL)",70.8,75.4,€27M,27.0
Evanilson,B'mouth,25.0,F (C),73.4,77.4,€26.9M,26.9
Alex Scott,B'mouth,21.0,"M, DM, AM (C)",66.4,77.6,€26.8M,26.8
Richarlison,Tottenham,27.0,F (C),72.6,72.7,€26.7M,26.7
Luis Guilherme,West Ham United,19.0,F (R),50.1,65.3,€26.6M,26.6
Sepp van den Berg,Brentford,23.0,D (CR),71.5,79.4,€26.4M,26.4
Joe Gomez,Liverpool,27.0,D (CRL),75.8,76.5,€26.3M,26.3
Jarell Quansah,Liverpool,22.0,D (C),62.6,73.4,€26.2M,26.2
Michael Kayode,Brentford,20.0,D (RL),67.7,80.4,€26M,26.0
Igor Thiago,Brentford,23.0,F (C),63.8,70.1,€25.9M,25.9
Maxence Lacroix,C. Palace,25.0,D (CR),76.4,80.0,€25.8M,25.8
Filip Jørgensen,Chelsea,23.0,GK,65.0,73.6,€25.7M,25.7
Crysencio Summerville,West Ham United,23.0,"M, AM (L)",65.2,71.3,€25.7M,25.7
Matt O'Riley,Brighton,24.0,M (C),66.1,71.9,€25.6M,25.6
Wilson Odobert,Tottenham,20.0,"F, M (L)",67.9,81.0,€25.6M,25.6
Tomáš Souček,West Ham United,30.0,"DM, M (C)",75.6,75.6,€25.6M,25.6
Callum Hudson-Odoi,Nottingham,24.0,M (L),81.4,86.4,€25.4M,25.4
Jacob Greaves,Ipswich Town,24.0,D (CL),65.2,73.1,€25.4M,25.4
Wout Faes,Leicester,27.0,D (C),67.2,70.8,€25.3M,25.3
Mateo Kovačić,Man City,30.0,"M, DM (C)",77.7,77.7,€25.3M,25.3
Jakub Kiwior,Arsenal,25.0,D (CL),69.8,73.7,€25.2M,25.2
Tyrick Mitchell,C. Palace,25.0,"M, D (L)",80.7,83.8,€25.1M,25.1
Julio Enciso,Ipswich Town,21.0,"AM (C), M (CL)",69.6,80.5,€25.1M,25.1
Igor Júlio,Brighton,27.0,D (CL),72.1,72.9,€25M,25.0
Aaron Hickey,Brentford,22.0,D (R),72.4,85.1,€24.9M,24.9
Iliman Ndiaye,Everton,25.0,"F, M (L), AM (C)",68.5,72.9,€24.9M,24.9
Ismaïla Sarr,C. Palace,27.0,"F (R), AM (L)",69.9,70.1,€24.9M,24.9
Robert Sánchez,Chelsea,27.0,GK,75.8,75.8,€24.8M,24.8
Eddie Nketiah,C. Palace,25.0,F (C),70.1,72.8,€24.8M,24.8
Tosin Adarabioyo,Chelsea,27.0,D (C),74.1,74.1,€24.8M,24.8
Kiernan Dewsbury-Hall,Chelsea,26.0,"M, DM (C)",67.8,68.8,€24.6M,24.6
Tyler Adams,B'mouth,26.0,DM (C),72.9,75.9,€24.5M,24.5
Alisson,Liverpool,32.0,GK,78.0,78.0,€24.5M,24.5
Claudio Echeverri,Man City,19.0,"AM, M (C)",54.9,75.0,€24.4M,24.4
Jesper Lindstrøm,Everton,25.0,"M (R), AM (CR)",70.6,73.7,€24.4M,24.4
Marcus Tavernier,B'mouth,26.0,"M (RL), AM (L)",71.8,74.8,€24.4M,24.4
Beto,Everton,27.0,F (C),66.7,66.7,€24.4M,24.4
Orel Mangala,Everton,27.0,"DM, M (C)",71.2,71.5,€24.4M,24.4
Victor Kristiansen,Leicester,22.0,"D, M (L)",69.6,83.9,€23.9M,23.9
Jordan Pickford,Everton,31.0,GK,75.3,75.3,€23.8M,23.8
Mikey Moore,Tottenham,17.0,"AM, F (L)",47.9,69.8,€23.7M,23.7
Konstantinos Tsimikas,Liverpool,28.0,D (L),69.4,69.4,€23.6M,23.6
Carlos Soler,West Ham United,28.0,"M (C), AM (R)",71.4,71.6,€23.3M,23.3
James Garner,Everton,24.0,"DM, M (C)",74.9,80.4,€23.2M,23.2
Emiliano Martínez,Aston Villa,32.0,GK,74.2,74.2,€23M,23.0
Takehiro Tomiyasu,Arsenal,26.0,D (RL),72.9,77.1,€22.9M,22.9
Dean Henderson,C. Palace,28.0,GK,78.0,78.0,€22.7M,22.7
Neco Williams,Nottingham,24.0,D (RL),71.6,78.5,€22.6M,22.6
Mateus Fernandes,Southampton,20.0,M (C),61.5,79.1,€22.5M,22.5
Jaden Philogene-Bidace,Ipswich Town,23.0,"F (L), M (RL)",61.7,67.3,€22.3M,22.3
Vitaly Janelt,Brentford,26.0,"DM, M (C)",77.0,77.8,€22.2M,22.2
Abdul Fatawu Issahaku,Leicester,21.0,"F, M (R)",66.2,79.9,€21.9M,21.9
Dara O'Shea,Ipswich Town,26.0,D (CR),64.8,69.8,€21.8M,21.8
Donyell Malen,Aston Villa,26.0,"F, M (R), AM (L)",80.6,83.4,€21.6M,21.6
John McGinn,Aston Villa,30.0,M (CRL),77.0,77.0,€21.6M,21.6
Kristoffer Ajer,Brentford,27.0,D (CR),71.9,72.1,€21.5M,21.5
Yasin Ayari,Brighton,21.0,"M, DM (C)",67.1,79.5,€21.5M,21.5
Chadi Riad,C. Palace,21.0,D (C),63.3,76.9,€21.4M,21.4
Reiss Nelson,Fulham,25.0,"F (R), M (L)",67.0,69.6,€21.3M,21.3
Jean-Ricner Bellegarde,Wolverhampton,26.0,M (C),68.6,69.1,€21.3M,21.3
Taiwo Awoniyi,Nottingham,27.0,F (C),66.9,66.9,€21M,21.0
Sean Longstaff,Newcastle Utd.,27.0,M (C),78.9,80.5,€21M,21.0
Federico Chiesa,Liverpool,27.0,F (CR),68.1,68.7,€20.9M,20.9
Caoimhin Kelleher,Liverpool,26.0,GK,59.6,62.6,€20.9M,20.9
Fábio Carvalho,Brentford,22.0,"AM, M, F (C)",70.5,78.5,€20.6M,20.6
Andrew Robertson,Liverpool,31.0,D (L),80.2,80.6,€20.6M,20.6
Kevin De Bruyne,Man City,33.0,"M, AM (C)",84.9,84.9,€20.4M,20.4
Ben Chilwell,C. Palace,28.0,"D, M (L)",69.2,69.2,€20.4M,20.4
Wilfred Ndidi,Leicester,28.0,"DM, M (C)",69.3,70.8,€20.4M,20.4
Marcos Senesi,B'mouth,27.0,D (C),69.2,70.7,€20.3M,20.3
Trevoh Chalobah,Chelsea,25.0,D (CR),75.2,78.8,€20.2M,20.2
Felipe Morato,Nottingham,23.0,D (CL),67.3,74.1,€20M,20.0
Antonín Kinský,Tottenham,22.0,GK,63.0,71.9,€20M,20.0
Nathan Patterson,Everton,23.0,D (R),59.8,64.3,€19.9M,19.9
James McAtee,Man City,22.0,"AM (C), M (CR)",63.4,71.6,€19.8M,19.8
Oleksandr Zinchenko,Arsenal,28.0,D (L),79.1,79.2,€19.8M,19.8
Jake O'Brien,Everton,23.0,D (CR),65.4,69.0,€19.7M,19.7
Carlos Alcaraz,Everton,22.0,M (CL),69.9,78.3,€19.6M,19.6
Lewis Cook,B'mouth,28.0,"M, DM (C), D (R)",72.7,73.6,€19.5M,19.5
Ederson,Man City,31.0,GK,80.2,80.2,€19.5M,19.5
Jack Clarke,Ipswich Town,24.0,"F, M (L)",62.8,67.8,€19.4M,19.4
Ola Aina,Nottingham,28.0,D (RL),74.2,74.7,€19.3M,19.3
Marco Asensio,Aston Villa,29.0,"F (CR), M (C)",77.6,77.6,€19.3M,19.3
Romain Esse,C. Palace,19.0,"M (R), AM (C)",57.7,76.5,€19.2M,19.2
Djed Spence,Tottenham,24.0,D (RL),72.5,76.5,€19.2M,19.2
Mads Hermansen,Leicester,24.0,GK,62.5,70.5,€19.2M,19.2
Konstantinos Mavropanos,West Ham United,27.0,D (C),68.8,69.2,€19.1M,19.1
Andreas Pereira,Fulham,29.0,"M, DM, AM (C)",75.7,75.7,€18.9M,18.9
Nicolás Domínguez,Nottingham,26.0,"M, DM (C)",74.3,75.4,€18.8M,18.8
Aaron Ramsdale,Southampton,26.0,GK,67.3,71.5,€18.7M,18.7
Toti Gomes,Wolverhampton,26.0,D (CL),70.6,72.1,€18.6M,18.6
Armando Broja,Everton,23.0,F (C),64.8,70.9,€18.6M,18.6
Cameron Archer,Southampton,23.0,F (C),66.2,73.8,€18.6M,18.6
Kamaldeen Sulemana,Southampton,23.0,"F, M (L)",65.6,71.7,€18.5M,18.5
Mohamed Salah,Liverpool,32.0,"F (CR), M (R)",86.6,86.6,€18.3M,18.3
Marshall Munetsi,Wolverhampton,28.0,"M, DM (C)",68.3,68.3,€18.3M,18.3
Yehor Yarmoliuk,Brentford,21.0,"AM, M (C)",65.9,75.9,€18M,18.0
Emmanuel Agbadou,Wolverhampton,27.0,D (C),68.7,68.7,€18M,18.0
Jacob Murphy,Newcastle Utd.,30.0,"F (R), AM (L)",77.2,77.2,€17.9M,17.9
Issa Diop,Fulham,28.0,D (C),70.8,71.5,€17.9M,17.9
Jack Harrison,Everton,28.0,"F, M (R), AM (C)",72.0,72.0,€17.9M,17.9
Dominic Calvert-Lewin,Everton,28.0,F (C),67.6,68.8,€17.8M,17.8
Hee-chan Hwang,Wolverhampton,29.0,F (C),69.0,69.1,€17.6M,17.6
Ryan Yates,Nottingham,27.0,"M, DM (C)",72.2,74.0,€17.5M,17.5
Raheem Sterling,Arsenal,30.0,"F, AM (R), M (L)",77.1,77.1,€17.5M,17.5
Luke Shaw,Man Utd,29.0,D (CL),72.7,72.7,€17.5M,17.5
Jota Silva,Nottingham,25.0,F (CR),63.7,65.7,€17.4M,17.4
Ramón Sosa,Nottingham,25.0,"F, M, AM (L)",62.1,64.7,€17.4M,17.4
Kalvin Phillips,Ipswich Town,29.0,"DM, M (C)",66.6,66.7,€17.3M,17.3
Oliver Skipp,Leicester,24.0,"DM, M (C)",70.0,76.8,€17.1M,17.1
Mats Wieffer,Brighton,25.0,"M, DM (C)",65.7,70.1,€16.8M,16.8
Timothy Castagne,Fulham,29.0,D (R),75.9,75.9,€16.8M,16.8
Marc Guiu,Chelsea,19.0,F (C),43.1,62.7,€16.7M,16.7
Kyle Walker-Peters,Southampton,28.0,"D, M (R)",65.5,67.6,€16.6M,16.6
Caleb Okoli,Leicester,23.0,D (CL),64.3,73.0,€16.6M,16.6
Albert Grønbæk,Southampton,23.0,"AM, M (C)",62.1,67.9,€16.6M,16.6
Virgil van Dijk,Liverpool,33.0,D (C),79.8,80.3,€16.6M,16.6
Youssef Chermiti,Everton,20.0,F (C),51.4,62.0,€16.6M,16.6
James Justin,Leicester,27.0,D (RL),67.9,70.6,€16.4M,16.4
Enes Ünal,B'mouth,27.0,F (C),64.8,64.8,€16.4M,16.4
Gonçalo Guedes,Wolverhampton,28.0,F (CL),71.2,71.2,€16.2M,16.2
Ryan Christie,B'mouth,30.0,DM (C),76.7,76.7,€16.2M,16.2
Bernd Leno,Fulham,33.0,GK,74.0,74.0,€16M,16.0
Yukinari Sugawara,Southampton,24.0,D (R),65.6,72.2,€15.8M,15.8
Chris Richards,C. Palace,25.0,D (CRL),71.1,75.3,€15.7M,15.7
Matheus França,C. Palace,21.0,AM (C),59.7,70.0,€15.5M,15.5
James Tarkowski,Everton,32.0,D (C),74.9,74.9,€15.5M,15.5
Luis Sinisterra,B'mouth,25.0,"F, M (L)",65.2,67.9,€15.4M,15.4
Jens Cajuste,Ipswich Town,25.0,"DM, M (C)",66.1,68.8,€15.4M,15.4
Armel Bella-Kotchap,Southampton,23.0,D (C),64.6,70.5,€15.4M,15.4
Mathis Amougou,Chelsea,19.0,M (C),48.7,65.9,€15.3M,15.3
Boubakary Soumaré,Leicester,26.0,"DM, M (C)",69.0,74.1,€15.3M,15.3
Daichi Kamada,C. Palace,28.0,"AM, M (C)",71.5,71.5,€15.1M,15.1
Julio Soler,B'mouth,20.0,D (L),62.9,75.8,€14.8M,14.8
Lucas Digne,Aston Villa,31.0,D (L),71.2,71.2,€14.8M,14.8
Nasser Djiga,Wolverhampton,22.0,D (C),59.2,73.1,€14.7M,14.7
Rico Henry,Brentford,27.0,"D, M (L)",71.7,73.8,€14.7M,14.7
Mathias Jensen,Brentford,29.0,M (C),74.2,74.2,€14.7M,14.7
Thomas Partey,Arsenal,31.0,"DM, M (C), D (R)",77.2,77.2,€14.7M,14.7
Harry Wilson,Fulham,28.0,"F, M (R)",76.0,76.0,€14.5M,14.5
Julian Araujo,B'mouth,23.0,D (R),64.3,71.3,€14.3M,14.3
Patson Daka,Leicester,26.0,F (C),66.1,70.3,€14.3M,14.3
Sammie Szmodics,Ipswich Town,29.0,"AM (C), M (L)",61.3,61.3,€14.1M,14.1
Tommy Doyle,Wolverhampton,23.0,M (C),66.7,73.3,€14M,14.0
Mark Flekken,Brentford,31.0,GK,72.0,72.0,€13.9M,13.9
Harry Maguire,Man Utd,32.0,D (C),67.6,68.2,€13.8M,13.8
Tim Iroegbunam,Everton,21.0,"M, DM (C)",57.6,66.0,€13.8M,13.8
Tariq Lamptey,Brighton,24.0,D (RL),66.9,70.1,€13.6M,13.6
Guido Rodríguez,West Ham United,31.0,"DM, M (C)",71.6,71.6,€13.6M,13.6
Victor Lindelöf,Man Utd,30.0,D (C),67.8,67.8,€13.5M,13.5
Kenny Tete,Fulham,29.0,D (R),70.7,71.6,€13.4M,13.4
Niclas Füllkrug,West Ham United,32.0,F (C),66.0,66.0,€13.4M,13.4
Stephy Mavididi,Leicester,26.0,"F, M (L)",66.8,70.1,€13.2M,13.2
Altay Bayındır,Man Utd,27.0,GK,60.3,62.9,€13.2M,13.2
Aaron Anselmino,Chelsea,19.0,D (C),57.5,69.0,€13.2M,13.2
Pedro Lima,Wolverhampton,18.0,D (R),45.3,64.1,€13.1M,13.1
Carlos Forbs,Wolverhampton,21.0,F (RL),54.9,67.6,€13M,13.0
David Brooks,B'mouth,27.0,"F, M (R)",65.9,65.9,€13M,13.0
Jan Bednarek,Southampton,29.0,D (C),63.8,64.6,€13M,13.0
David Datro Fofana,Chelsea,22.0,F (C),65.9,75.4,€12.9M,12.9
Jefferson Lerma,C. Palace,30.0,"DM, M (C)",70.8,70.8,€12.8M,12.8
Emerson Palmieri,West Ham United,30.0,D (L),67.0,67.0,€12.7M,12.7
Paul Onuachu,Southampton,30.0,F (C),63.1,63.1,€12.7M,12.7
Ben Johnson,Ipswich Town,25.0,"D, M (R)",66.6,70.6,€12.6M,12.6
Odsonne Édouard,Leicester,27.0,F (C),70.0,72.6,€12.4M,12.4
Yerson Mosquera,Wolverhampton,23.0,D (CRL),67.3,76.1,€12.2M,12.2
Adam Webster,Brighton,30.0,D (C),71.4,71.4,€12.2M,12.2
Saša Lukić,Fulham,28.0,"M, DM (C)",72.1,72.1,€12.1M,12.1
William Osula,Newcastle Utd.,21.0,F (C),58.5,67.1,€11.9M,11.9
Ryan Sessegnon,Fulham,24.0,"D, M (L)",68.5,71.8,€11.8M,11.8
Alphonse Aréola,West Ham United,32.0,GK,66.6,66.6,€11.6M,11.6
Casemiro,Man Utd,33.0,"DM, M (C)",72.4,72.4,€11.6M,11.6
Nick Pope,Newcastle Utd.,33.0,GK,70.1,71.3,€11.5M,11.5
James Ward-Prowse,West Ham United,30.0,"M, DM (C)",66.9,66.9,€11.5M,11.5
Harry Winks,Leicester,29.0,"DM, M (C)",68.2,68.4,€11.5M,11.5
Kepa Arrizabalaga,B'mouth,30.0,GK,72.2,75.0,€11.4M,11.4
Eiran Joe Cashin,Brighton,23.0,D (CL),58.3,66.2,€11.3M,11.3
Santiago Bueno,Wolverhampton,26.0,D (CR),68.6,71.2,€11.3M,11.3
Álex Moreno,Nottingham,31.0,D (L),68.5,69.2,€11.2M,11.2
Wataru Endo,Liverpool,32.0,"DM, M (C)",68.3,68.3,€11.1M,11.1
İlkay Gündoğan,Man City,34.0,"M, DM (C)",81.2,81.2,€11M,11.0
Christian Nørgaard,Brentford,31.0,"DM, M (C)",73.7,73.7,€10.8M,10.8
Harry Souttar,Leicester,26.0,D (C),66.9,66.9,€10.8M,10.8
Toby Collyer,Man Utd,21.0,DM (C),54.0,62.4,€10.7M,10.7
Tyrique George,Chelsea,19.0,F (L),46.2,62.2,€10.7M,10.7
Ben Godfrey,Ipswich Town,27.0,D (CRL),64.4,66.8,€10.5M,10.5
Andrés García,Aston Villa,22.0,D (R),60.5,68.3,€10.4M,10.4
Arijanet Murić,Ipswich Town,26.0,GK,68.1,71.1,€10.4M,10.4
Timo Werner,Tottenham,29.0,"F, M, AM (L)",75.8,76.0,€10.3M,10.3
Matz Sels,Nottingham,33.0,GK,72.7,73.4,€10.2M,10.2
Chiedozie Ogbene,Ipswich Town,27.0,"F, M (R), AM (C)",62.0,63.0,€9.8M,9.8
Will Smallbone,Southampton,25.0,"M, AM (C)",63.2,66.8,€9.8M,9.8
Conor Chaplin,Ipswich Town,28.0,"M, AM (C)",63.5,64.7,€9.6M,9.6
Jack Hinshelwood,Brighton,20.0,"D (R), DM (C)",68.5,84.7,€9.2M,9.2
