Player,Team_TransferSite,Age,Position,Skill,Potential,TransferValueRaw,TransferValue_EUR_Millions
Ryan Fraser,Southampton,31.0,"F, AM (L)",59.0,59.0,€2.3M,2.3
Harry Toffolo,Nottingham,29.0,D (L),62.1,62.1,€2.3M,2.3
Conor Coady,Leicester,32.0,D (C),61.3,61.3,€2.3M,2.3
Michael Golding,Leicester,18.0,M (C),48.8,67.3,€2.2M,2.2
Daniel Iversen,Leicester,27.0,GK,63.2,63.4,€2.1M,2.1
Wes Burns,Ipswich Town,30.0,M (R),64.4,64.4,€2.1M,2.1
James Hill,B'mouth,23.0,D (CR),54.7,61.8,€2.1M,2.1
Emil Krafth,Newcastle Utd.,30.0,D (CR),58.8,58.8,€2.1M,2.1
Charlie Taylor,Southampton,31.0,D (CL),63.6,64.4,€2.1M,2.1
Jannik Vestergaard,Leicester,32.0,D (C),61.7,61.7,€2M,2.0
Jamal Lewis,Newcastle Utd.,27.0,D (L),59.8,60.2,€2M,2.0
Luke Woolfenden,Ipswich Town,26.0,D (C),65.0,68.3,€2M,2.0
James Bree,Southampton,27.0,D (CR),59.9,60.8,€2M,2.0
Woyo Coulibaly,Leicester,25.0,D (RL),59.6,63.6,€1.9M,1.9
Cameron Burgess,Ipswich Town,29.0,D (C),61.7,62.8,€1.7M,1.7
Alex Palmer,Ipswich Town,28.0,GK,64.4,67.5,€1.6M,1.6
Neto,Arsenal,35.0,GK,61.3,62.7,€1.6M,1.6
Kortney Hause,Aston Villa,29.0,D (CL),62.4,63.6,€1.5M,1.5
Adam Smith,B'mouth,33.0,D (R),68.5,68.7,€1.5M,1.5
Craig Dawson,Wolverhampton,34.0,D (C),64.4,64.4,€1.5M,1.5
Jason Steele,Brighton,34.0,GK,51.5,52.0,€1.5M,1.5
Kasey McAteer,Leicester,23.0,"F, M (R)",55.1,61.3,€1.5M,1.5
Tom Cairney,Fulham,34.0,"M, DM (C)",61.7,61.7,€1.5M,1.5
Daniel Bentley,Wolverhampton,31.0,GK,53.7,54.2,€1.5M,1.5
Caleb Kporha,C. Palace,18.0,D (R),48.3,62.0,€1.4M,1.4
Christian Walton,Ipswich Town,29.0,GK,56.6,56.7,€1.4M,1.4
Jack Stephens,Southampton,31.0,D (CL),60.6,61.0,€1.4M,1.4
Malcolm Ebiowei,C. Palace,21.0,"F, M (R)",52.3,62.2,€1.4M,1.4
Ashley Young,Everton,39.0,D (RL),72.5,72.5,€1.3M,1.3
Sam Morsy,Ipswich Town,33.0,"M, DM (C)",65.0,65.6,€1.3M,1.3
Willy Boly,Nottingham,34.0,D (CR),57.6,57.6,€1.3M,1.3
Wesley Foderingham,West Ham United,34.0,GK,59.7,60.9,€1.3M,1.3
Martin Dúbravka,Newcastle Utd.,36.0,GK,62.2,62.2,€1.2M,1.2
Will Dennis,B'mouth,24.0,GK,58.2,64.3,€1.2M,1.2
Cieran Slicker,Ipswich Town,22.0,GK,54.7,61.6,€1.2M,1.2
Conor Townsend,Ipswich Town,32.0,D (L),58.7,58.7,€1.2M,1.2
James Milner,Brighton,39.0,"M (C), D (R)",66.2,66.2,€1.2M,1.2
Jamie Vardy,Leicester,38.0,F (C),67.3,69.5,€1.2M,1.2
Jonny Evans,Man Utd,37.0,D (C),60.4,60.4,€1.1M,1.1
Steven Benda,Fulham,26.0,GK,50.4,51.8,€1.1M,1.1
Nathaniel Clyne,C. Palace,34.0,D (R),62.0,62.8,€1.1M,1.1
Michail Antonio,West Ham United,35.0,F (C),70.2,70.2,€1M,1.0
Kim Ji-Soo,Brentford,20.0,D (C),49.1,60.8,€1M,1.0
Marcus Bettinelli,Chelsea,32.0,GK,55.5,56.3,€1M,1.0
Willian,Fulham,36.0,"F, M, AM (L)",67.4,67.4,€1M,1.0
Kaden Rodney,C. Palace,20.0,"DM, M (C)",59.0,71.0,€0.9M,0.9
Robin Olsen,Aston Villa,35.0,GK,46.0,46.0,€0.9M,0.9
Ben Mee,Brentford,35.0,D (CL),62.6,62.6,€0.9M,0.9
Danny Ward,Leicester,31.0,GK,50.1,50.1,€0.9M,0.9
Adam Lallana,Southampton,36.0,"AM, M (C)",58.4,58.4,€0.9M,0.9
Joel Ward,C. Palace,35.0,D (R),58.1,58.1,€0.9M,0.9
Łukasz Fabiański,West Ham United,40.0,GK,64.4,64.4,€0.9M,0.9
Asmir Begović,Everton,37.0,GK,61.2,61.2,€0.9M,0.9
Aaron Cresswell,West Ham United,35.0,D (L),62.6,62.6,€0.8M,0.8
Edmond-Paris Maghoma,Brentford,23.0,M (C),52.2,56.8,€0.8M,0.8
Brandon Austin,Tottenham,26.0,GK,44.4,45.2,€0.8M,0.8
Joe Lumley,Southampton,30.0,GK,58.4,58.4,€0.7M,0.7
John Ruddy,Newcastle Utd.,38.0,GK,60.5,60.5,€0.7M,0.7
Séamus Coleman,Everton,36.0,D (R),59.8,59.8,€0.7M,0.7
Harry Amass,Man Utd,18.0,D (L),43.8,63.6,€0.7M,0.7
Jakub Stolarczyk,Leicester,24.0,GK,52.8,54.8,€0.7M,0.7
Fraser Forster,Tottenham,37.0,GK,52.4,52.4,€0.7M,0.7
Harvey Davies,Liverpool,21.0,GK,54.1,68.8,€0.6M,0.6
Alex McCarthy,Southampton,35.0,GK,52.2,52.2,€0.6M,0.6
Tom King,Wolverhampton,30.0,GK,51.1,51.1,€0.6M,0.6
Lucas Bergström,Chelsea,22.0,GK,52.4,60.6,€0.6M,0.6
João Virgínia,Everton,25.0,GK,51.7,54.4,€0.6M,0.6
Tom McGill,Brighton,25.0,GK,49.8,53.1,€0.5M,0.5
Massimo Luongo,Ipswich Town,32.0,"M, DM (C)",56.7,56.7,€0.5M,0.5
Alfie Whiteman,Tottenham,26.0,GK,49.1,53.1,€0.5M,0.5
Remi Matthews,C. Palace,31.0,GK,47.7,47.8,€0.4M,0.4
Mark Gillespie,Newcastle Utd.,33.0,GK,43.7,44.7,€0.4M,0.4
Wayne Hennessey,Nottingham,38.0,GK,45.4,45.4,€0.4M,0.4
Scott Carson,Man City,39.0,GK,44.5,44.9,€0.4M,0.4
Tom Heaton,Man Utd,39.0,GK,46.8,46.8,€0.4M,0.4
Ranel Young,Liverpool,19.0,F (C),43.6,60.6,€0.2M,0.2
Rento Takaoka,Southampton,18.0,F (C),32.6,32.6,€0.2M,0.2
Richard Olise,Chelsea,20.0,D (R),47.0,57.5,€90K,0.09
