Name,Nation,Team,Position,Age,Playing Time: matches played,Playing Time: starts,Playing Time: minutes,Performance: goals,Performance: assists,Performance: yellow cards,Performance: red cards,Expected: expected goals (xG),Expected: expected Assist Goals (xAG),Progression: PrgC,Progression: PrgP,Progression: PrgR,Per 90 minutes: Gls,Per 90 minutes: Ast,Per 90 minutes: xG,Per 90 minutes: xGA,Performance: goals against per 90mins (GA90),Performance: Save%,Performance: CS%,Penalty Kicks: penalty kicks Save%,Standard: shoots on target percentage (SoT%),Standard: Shoot on Target per 90min (SoT/90),Standard: goals/shot (G/sh),Standard: average shoot distance (Dist),Total: passes completed (Cmp),Total: Pass completion (Cmp%),Total: progressive passing distance (TotDist),Short: Pass completion (Cmp%),Medium: Pass completion (Cmp%),Long: Pass completion (Cmp%),Expected: key passes (KP),Expected: pass into final third (1/3),Expected: pass into penalty area (PPA),Expected: CrsPA,Expected: PrgP,SCA: SCA,SCA: SCA90,GCA: GCA,GCA: GCA90,Tackles: Tkl,Tackles: TklW,Challenges: Att,Challenges: Lost,Blocks: Blocks,Blocks: Sh,Blocks: Pass,Blocks: Int,Touches: Touches,Touches: Def Pen,Touches: Def 3rd,Touches: Mid 3rd,Touches: Att 3rd,Touches: Att Pen,Take-Ons: Att,Take-Ons: Succ%,Take-Ons: Tkld%,Carries: Carries,Carries: ProDist,Carries: ProgC,Carries: 1/3,Carries: CPA,Carries: Mis,Carries: Dis,Receiving: Rec,Receiving: PrgR,Performance: Fls,Performance: Fld,Performance: Off,Performance: Crs,Performance: Recov,Aerial Duels: Won,Aerial Duels: Lost,Aerial Duels: Won%,Cluster
Emmanuel Agbadou,CIV,Wolves,DF,27,12,12,1050,0,0,2,0,0.3,0.2,3,21,1,0.0,0.0,0.02,0.02,N/a,N/a,N/a,N/a,16.7,0.09,0.00,32.6,591,84.3,4321,91.6,92.2,59.7,4,22,1,0,21,15,1.29,2,0.17,25,17,17,6,15,11,4,9,837,138,470,352,21,4,10,70.0,20.0,499,1057,3,3,0,3,3,543,1,5,4,1,1,62,21,15,58.3,0
Enes Ünal,TUR,Bournemouth,"FW,MF",27,17,2,345,2,1,2,0,2.7,0.4,4,12,22,0.52,0.26,0.72,0.1,N/a,N/a,N/a,N/a,35.0,1.83,0.10,14.6,63,63.6,192,76.9,60.7,0.0,4,4,4,0,12,9,2.35,3,0.78,1,0,3,3,1,0,1,0,172,6,14,63,95,26,12,8.3,83.3,91,95,4,3,1,17,13,133,22,6,9,1,4,16,24,22,52.2,0
Cameron Burgess,AUS,Ipswich Town,DF,29,16,14,1361,0,1,0,0,0.7,0.5,2,40,4,0.0,0.07,0.05,0.03,N/a,N/a,N/a,N/a,11.1,0.07,0.00,9.7,541,80.7,4760,90.8,86.5,50.9,6,42,4,0,40,12,0.79,2,0.13,14,9,9,2,18,13,5,13,849,203,510,296,44,21,0,N/a,N/a,391,935,2,4,0,2,0,491,4,4,4,1,0,37,38,19,66.7,0
David Brooks,WAL,Bournemouth,"FW,MF",27,25,8,815,2,0,3,0,2.2,1.7,25,27,75,0.22,0.0,0.24,0.19,N/a,N/a,N/a,N/a,45.5,1.1,0.09,16.8,243,74.1,1129,84.7,76.2,50.0,16,15,15,5,27,35,3.87,2,0.22,11,4,13,12,16,2,14,5,446,12,53,163,238,32,30,26.7,63.3,275,802,25,21,8,27,10,303,75,8,15,0,44,44,7,9,43.8,0
Evan Ferguson,IRL,West Ham,FW,20,7,1,145,0,0,0,0,0.6,0.3,1,0,6,0.0,0.0,0.35,0.19,N/a,N/a,N/a,N/a,20.0,0.62,0.00,17.2,26,78.8,11,83.3,71.4,0.0,2,0,0,0,0,4,2.48,0,0.0,2,0,0,0,2,1,1,1,62,1,6,27,29,10,5,60.0,40.0,31,41,1,1,1,8,5,40,6,1,2,0,0,8,5,8,38.5,0
Amadou Onana,BEL,Aston Villa,MF,23,22,17,1348,3,0,4,0,2.1,0.3,20,58,13,0.2,0.0,0.14,0.02,N/a,N/a,N/a,N/a,35.3,0.4,0.18,14.7,589,88.4,2316,94.4,89.9,71.4,7,52,8,1,58,25,1.67,4,0.27,46,24,24,10,14,6,8,24,836,60,227,490,132,20,17,64.7,17.6,459,1237,20,20,1,10,9,563,13,30,23,0,1,64,25,18,58.1,0
Emil Krafth,SWE,Newcastle Utd,DF,30,9,2,288,0,0,0,0,0.0,0.1,3,7,1,0.0,0.0,0.01,0.03,N/a,N/a,N/a,N/a,0.0,0.0,0.00,14.6,104,80.0,734,81.7,86.8,50.0,1,6,0,0,7,3,0.94,0,0.0,4,2,3,1,5,4,1,2,164,30,87,59,19,4,1,0.0,100.0,72,133,3,3,0,2,2,85,1,3,1,0,1,17,5,5,50.0,0
Danny Ings,ENG,West Ham,"FW,MF",32,15,1,284,1,2,0,0,2.3,1.3,6,5,29,0.32,0.63,0.72,0.41,N/a,N/a,N/a,N/a,35.7,1.58,0.07,15.5,63,68.5,126,83.7,65.5,20.0,6,4,1,0,5,12,3.8,2,0.63,4,2,3,2,5,0,5,1,139,2,15,51,73,27,7,57.1,28.6,63,118,6,0,2,6,6,96,29,0,2,0,3,9,8,10,44.4,0
Danny Ward,WAL,Leicester City,GK,31,2,1,135,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,4.00,40.0,0.0,N/a,N/a,0.0,N/a,N/a,41,77.4,949,100.0,100.0,55.6,0,2,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,55,40,55,0,0,0,1,0.0,100.0,44,107,0,0,0,0,0,35,0,0,0,0,0,1,0,0,N/a,0
Axel Disasi,FRA,Aston Villa,DF,27,7,5,490,0,0,2,0,0.1,0.4,10,16,5,0.0,0.0,0.02,0.07,N/a,N/a,N/a,N/a,0.0,0.0,0.00,19.5,243,86.8,1517,94.5,89.7,53.3,3,14,3,0,16,9,1.65,0,0.0,8,5,7,4,4,1,3,5,334,32,130,178,29,6,15,60.0,40.0,207,621,10,8,2,3,2,223,5,3,2,2,1,15,8,6,57.1,0
David Raya,ESP,Arsenal,GK,29,34,34,3060,0,0,2,0,0.0,0.0,0,12,0,0.0,0.0,0.0,0.0,0.85,75.5,35.3,0.0,N/a,0.0,N/a,N/a,945,74.7,15282,99.3,98.4,38.1,0,39,1,0,12,4,0.12,1,0.03,0,0,2,2,0,0,0,2,1321,772,1240,81,0,0,1,100.0,0.0,821,2479,0,0,0,1,0,756,0,1,8,0,0,38,10,0,100.0,0
Dean Henderson,ENG,Crystal Palace,GK,28,34,34,3060,0,0,3,0,0.0,0.1,0,0,0,0.0,0.0,0.0,0.0,1.38,66.9,29.4,50.0,0.0,0.0,0.00,14.9,672,61.8,12196,99.4,99.4,31.3,2,20,1,0,0,3,0.09,0,0.0,2,1,6,4,0,0,0,0,1173,954,1169,3,1,1,0,N/a,N/a,674,1919,0,0,0,2,0,510,0,0,0,0,0,25,11,1,91.7,0
Bobby De Cordova-Reid,JAM,Leicester City,FW,32,23,9,744,1,2,2,0,0.8,1.2,13,15,47,0.12,0.24,0.09,0.15,N/a,N/a,N/a,N/a,42.9,0.36,0.14,25.8,145,70.4,594,81.7,73.6,33.3,6,9,5,0,15,13,1.57,3,0.36,9,4,14,10,6,1,5,0,272,15,49,114,109,15,10,0.0,80.0,173,368,13,4,5,11,10,188,47,9,9,4,15,29,6,14,30.0,0
Billy Gilmour,SCO,Brighton,MF,23,2,1,98,0,0,0,0,0.1,0.0,2,11,2,0.0,0.0,0.07,0.0,N/a,N/a,N/a,N/a,0.0,0.0,0.00,25.5,58,86.6,346,94.7,81.8,57.1,0,12,2,0,11,3,2.76,0,0.0,3,3,4,1,1,0,1,0,73,2,14,46,13,0,2,50.0,50.0,44,117,2,0,0,0,0,58,2,2,3,0,1,5,0,0,N/a,0
Beto,GNB,Everton,FW,27,26,11,1192,6,0,2,0,6.1,0.8,12,9,62,0.45,0.0,0.46,0.06,N/a,N/a,N/a,N/a,51.4,1.36,0.17,13.6,116,56.6,177,68.0,48.5,87.5,8,5,3,1,9,17,1.28,0,0.0,13,6,8,3,7,1,6,3,403,21,41,182,185,65,32,53.1,43.8,210,387,12,9,9,53,32,291,62,29,18,14,3,29,74,86,46.3,0
Bernd Leno,GER,Fulham,GK,33,34,34,3060,0,1,4,0,0.0,0.1,0,0,0,0.0,0.03,0.0,0.0,1.35,68.3,14.7,0.0,N/a,0.0,N/a,N/a,1030,81.2,15011,99.5,98.9,46.9,2,15,2,0,0,5,0.15,2,0.06,2,2,2,0,1,0,1,0,1328,1066,1318,10,0,0,0,N/a,N/a,879,1987,0,0,0,0,0,781,0,0,3,0,0,47,9,0,100.0,0
Benoît Badiashile,FRA,Chelsea,DF,24,5,3,334,0,0,0,0,0.0,0.0,3,17,2,0.0,0.0,0.0,0.0,N/a,N/a,N/a,N/a,N/a,0.0,N/a,N/a,273,89.8,1473,93.3,93.8,65.6,0,37,1,0,17,0,0.0,0,0.0,9,6,5,1,2,2,0,6,336,31,138,186,13,0,1,0.0,100.0,177,340,3,5,0,1,0,247,2,6,2,0,0,18,8,2,80.0,0
Ben White,ENG,Arsenal,DF,27,13,9,856,0,1,2,0,0.4,0.8,10,42,27,0.0,0.11,0.04,0.09,N/a,N/a,N/a,N/a,14.3,0.11,0.00,19.1,421,83.9,2340,92.4,84.9,47.6,7,37,8,1,42,15,1.58,1,0.11,12,8,24,14,9,7,2,12,585,44,167,263,159,19,3,0.0,66.7,279,559,10,10,3,8,4,359,27,8,4,1,10,24,11,3,78.6,0
Ben Mee,ENG,Brentford,DF,35,7,2,183,0,0,2,0,0.0,0.0,3,11,2,0.0,0.0,0.0,0.0,N/a,N/a,N/a,N/a,N/a,0.0,N/a,N/a,93,77.5,688,89.5,85.0,40.0,0,10,0,0,11,0,0.0,0,0.0,2,2,1,0,3,3,0,4,138,18,66,62,11,3,0,N/a,N/a,78,274,3,1,1,0,0,86,2,5,0,0,0,11,5,5,50.0,0
Ben Johnson,ENG,Ipswich Town,"DF,FW",25,22,14,1348,1,2,5,1,1.1,1.3,16,26,34,0.07,0.13,0.07,0.09,N/a,N/a,N/a,N/a,42.9,0.2,0.14,12.6,296,71.5,2035,86.2,74.8,49.0,12,21,3,2,26,23,1.54,5,0.33,38,22,41,21,22,5,17,13,622,60,245,218,162,12,24,33.3,58.3,259,593,16,12,3,22,17,290,34,27,6,1,37,57,19,18,51.4,0
Brajan Gruda,GER,Brighton,"FW,MF",20,17,6,507,0,3,0,0,0.4,1.3,15,17,47,0.0,0.53,0.07,0.23,N/a,N/a,N/a,N/a,50.0,0.36,0.00,16.8,138,73.4,615,82.4,71.7,38.1,14,7,10,1,17,26,4.61,4,0.71,14,6,14,7,8,0,8,2,259,4,32,89,141,33,23,39.1,43.5,151,460,15,16,10,9,20,170,47,6,9,1,17,19,3,4,42.9,0
Ben Godfrey,ENG,Ipswich Town,DF,27,3,2,159,0,0,1,0,0.0,0.0,2,4,1,0.0,0.0,0.0,0.0,N/a,N/a,N/a,N/a,N/a,0.0,N/a,N/a,47,82.5,255,90.9,88.9,N/a,0,5,1,0,4,1,0.57,0,0.0,1,0,1,0,1,1,0,2,68,5,26,33,9,1,0,N/a,N/a,33,79,2,2,0,2,1,42,1,1,0,0,0,2,3,0,100.0,0
Ben Davies,WAL,Tottenham,DF,32,12,10,946,0,0,3,0,0.3,0.2,13,48,6,0.0,0.0,0.03,0.02,N/a,N/a,N/a,N/a,20.0,0.1,0.00,17.0,704,90.0,5396,93.4,94.7,69.8,2,40,2,0,48,8,0.76,0,0.0,13,9,13,7,18,11,7,10,901,148,458,400,43,12,1,100.0,0.0,528,1576,13,9,0,4,0,618,6,11,4,0,4,31,41,33,55.4,0
Diego Carlos,BRA,Aston Villa,DF,32,10,8,830,0,0,1,0,0.6,0.0,3,34,0,0.0,0.0,0.07,0.0,N/a,N/a,N/a,N/a,25.0,0.11,0.00,6.7,534,88.6,4103,91.4,94.2,65.1,0,23,1,0,34,4,0.43,0,0.0,8,3,6,2,13,7,6,5,674,86,331,330,15,6,2,100.0,0.0,419,1162,3,3,0,1,2,481,0,11,1,1,0,36,11,10,52.4,0
Diego Gómez,PAR,Brighton,MF,22,12,4,440,0,0,0,0,0.4,0.5,5,20,14,0.0,0.0,0.09,0.1,N/a,N/a,N/a,N/a,0.0,0.0,0.00,21.5,206,79.8,742,85.7,84.3,52.2,5,12,5,1,20,14,2.86,3,0.61,17,10,18,9,11,0,11,7,342,18,79,184,83,5,12,50.0,50.0,161,254,5,3,0,6,9,204,14,7,2,1,9,30,7,3,70.0,0
Ben Chilwell,ENG,Crystal Palace,DF,28,6,0,139,0,0,1,0,0.1,0.2,2,3,10,0.0,0.0,0.05,0.13,N/a,N/a,N/a,N/a,50.0,0.65,0.00,27.6,45,65.2,155,83.9,64.0,11.1,2,4,2,0,3,3,1.93,0,0.0,4,4,3,3,3,1,2,4,98,6,35,43,25,1,5,40.0,40.0,39,146,2,1,0,2,2,42,10,2,2,2,3,12,3,3,50.0,0
Ben Brereton,CHI,Southampton,FW,26,10,4,449,0,0,1,0,0.9,0.1,12,9,42,0.0,0.0,0.18,0.02,N/a,N/a,N/a,N/a,9.1,0.2,0.00,17.3,128,77.1,383,87.4,67.9,63.6,3,9,2,1,9,9,1.8,0,0.0,3,2,9,8,2,1,1,0,206,4,19,76,112,20,4,25.0,50.0,136,394,12,13,4,9,4,171,42,4,8,1,5,16,9,7,56.3,0
Diogo Jota,POR,Liverpool,FW,28,22,13,1074,6,3,2,0,7.3,1.8,36,33,85,0.5,0.25,0.61,0.15,N/a,N/a,N/a,N/a,28.9,1.09,0.13,12.4,193,68.7,698,75.5,73.3,57.9,11,28,3,1,33,35,2.94,9,0.75,13,7,19,12,9,0,9,6,436,5,28,180,235,88,30,36.7,60.0,240,753,36,21,20,36,21,304,85,18,12,1,8,38,21,28,42.9,0
Bart Verbruggen,NED,Brighton,GK,22,32,32,2880,0,1,5,0,0.0,0.0,0,2,0,0.0,0.03,0.0,0.0,1.69,63.3,18.8,0.0,N/a,0.0,N/a,N/a,919,78.0,14722,99.2,98.2,47.3,1,17,1,0,2,5,0.16,1,0.03,0,0,3,3,1,0,1,0,1258,999,1245,13,0,0,2,100.0,0.0,849,1576,0,1,1,2,0,814,0,0,2,0,0,58,10,1,90.9,0
Ayden Heaven,ENG,Manchester Utd,DF,18,2,1,95,0,0,0,0,0.0,0.0,1,2,1,0.0,0.0,0.0,0.0,N/a,N/a,N/a,N/a,N/a,0.0,N/a,N/a,40,81.6,185,82.4,88.9,33.3,0,2,0,0,2,2,1.89,0,0.0,3,3,2,0,2,2,0,1,67,21,42,23,3,1,2,100.0,0.0,42,122,1,1,0,2,1,40,1,2,3,0,0,4,1,2,33.3,0
Dominic Calvert-Lewin,ENG,Everton,FW,28,22,19,1574,3,1,2,0,6.1,0.6,22,19,105,0.17,0.06,0.35,0.04,N/a,N/a,N/a,N/a,37.0,0.97,0.07,12.3,174,62.6,488,70.0,58.3,37.5,7,19,5,1,19,25,1.43,4,0.23,9,7,6,4,6,2,4,6,491,21,38,204,254,82,25,40.0,52.0,268,444,22,8,16,71,32,402,105,27,22,27,6,32,83,79,51.2,0
Axel Tuanzebe,COD,Ipswich Town,DF,27,18,17,1445,0,1,5,1,0.2,0.3,9,45,8,0.0,0.06,0.01,0.02,N/a,N/a,N/a,N/a,0.0,0.0,0.00,15.7,535,83.1,3171,91.0,81.8,56.1,4,49,2,0,45,11,0.68,2,0.12,29,17,24,8,18,9,9,21,789,89,343,347,105,6,10,40.0,60.0,338,724,9,6,1,11,1,407,8,12,11,0,6,43,15,16,48.4,0
Axel Disasi,FRA,Chelsea,DF,27,6,4,364,1,0,1,0,0.3,0.1,6,16,2,0.25,0.0,0.07,0.02,N/a,N/a,N/a,N/a,50.0,0.25,0.50,12.3,266,90.8,1367,94.4,92.9,69.2,2,20,2,0,16,2,0.49,0,0.0,7,4,11,5,4,1,3,2,323,17,110,175,40,2,1,100.0,0.0,196,519,6,3,0,1,3,242,2,2,0,0,0,15,5,2,71.4,0
Danny Welbeck,ENG,Brighton,FW,34,27,21,1852,9,4,4,0,8.1,1.1,19,40,81,0.44,0.19,0.39,0.05,N/a,N/a,N/a,N/a,37.7,0.97,0.17,15.2,352,84.0,835,85.9,87.6,100.0,17,15,12,0,40,42,2.04,6,0.29,22,13,17,11,16,2,14,5,625,15,47,267,315,90,36,33.3,58.3,373,739,19,21,7,44,23,462,81,11,21,3,3,37,15,24,38.5,0
Donyell Malen,NED,Aston Villa,FW,26,11,2,273,3,0,0,0,1.7,0.1,9,5,23,0.99,0.0,0.55,0.02,N/a,N/a,N/a,N/a,66.7,2.64,0.25,16.3,45,70.3,124,82.9,75.0,50.0,2,2,1,0,5,4,1.31,0,0.0,7,4,4,3,1,0,1,0,110,2,7,29,80,18,10,30.0,50.0,63,251,9,5,5,8,6,71,23,1,4,2,7,8,3,4,42.9,0
Evan Ferguson,IRL,Brighton,FW,20,13,2,246,1,0,0,0,0.5,0.4,2,1,9,0.37,0.0,0.2,0.15,N/a,N/a,N/a,N/a,28.6,0.73,0.14,19.2,43,74.1,44,86.1,72.7,25.0,3,1,0,0,1,4,1.47,0,0.0,4,3,5,3,3,1,2,0,88,7,13,50,26,9,2,50.0,50.0,42,56,2,1,2,5,6,52,9,3,1,0,0,10,4,9,30.8,0
Caoimhín Kelleher,IRL,Liverpool,GK,26,10,10,900,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1.20,67.6,40.0,100.0,N/a,0.0,N/a,N/a,289,75.7,3968,100.0,100.0,31.9,0,6,0,0,0,3,0.3,1,0.1,0,0,0,0,0,0,0,0,398,286,396,2,0,0,1,100.0,0.0,290,616,0,0,0,1,0,275,0,0,3,0,0,18,1,0,100.0,0
Ethan Nwaneri,ENG,Arsenal,"FW,MF",18,24,10,816,4,2,1,0,1.1,1.0,44,30,101,0.44,0.22,0.12,0.11,N/a,N/a,N/a,N/a,36.4,0.88,0.18,18.2,304,80.2,1143,92.3,76.6,51.4,12,16,13,6,30,22,2.42,3,0.33,11,7,18,11,8,2,6,2,491,3,43,159,294,39,55,58.2,30.9,330,1233,44,21,16,20,17,358,101,7,5,6,51,33,3,7,30.0,0
Carlos Alcaraz,ARG,Southampton,MF,22,1,0,10,0,0,0,0,0.1,0.1,4,6,1,0.0,0.0,0.62,0.86,N/a,N/a,N/a,N/a,100.0,9.0,0.00,9.7,13,100.0,66,100.0,100.0,100.0,1,4,1,1,6,1,9.0,0,0.0,0,0,0,0,0,0,0,1,17,0,1,8,9,2,2,0.0,100.0,12,98,4,1,0,0,0,12,1,1,0,0,1,2,1,0,100.0,0
Gonçalo Guedes,POR,Wolves,"MF,FW",28,25,7,772,2,4,1,0,2.2,1.1,32,30,58,0.23,0.47,0.26,0.13,N/a,N/a,N/a,N/a,36.8,0.82,0.11,20.0,186,72.7,789,84.1,76.0,44.8,11,13,16,5,30,23,2.68,8,0.93,14,4,15,12,9,0,9,5,367,4,42,161,177,28,20,25.0,55.0,224,896,32,20,5,33,14,248,58,14,15,3,16,34,3,11,21.4,0
Guglielmo Vicario,ITA,Tottenham,GK,28,21,21,1890,0,0,1,0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,1.29,68.6,19.0,N/a,N/a,0.0,N/a,N/a,681,90.0,7613,99.1,97.5,53.0,0,1,0,0,1,3,0.14,0,0.0,0,0,0,0,0,0,0,1,805,535,787,18,0,0,1,100.0,0.0,577,1533,0,0,0,0,0,520,0,0,1,0,0,30,9,0,100.0,0
Adam Smith,ENG,Bournemouth,DF,33,21,16,1319,0,0,5,0,0.7,0.2,12,39,31,0.0,0.0,0.04,0.02,N/a,N/a,N/a,N/a,0.0,0.0,0.00,16.9,415,75.7,2196,87.7,78.8,35.3,6,39,6,3,39,17,1.16,1,0.07,20,10,23,12,10,3,7,14,671,34,205,316,154,6,15,40.0,40.0,293,577,12,15,0,10,6,320,31,13,10,0,28,40,12,12,50.0,0
Adam Lallana,ENG,Southampton,MF,36,14,5,361,0,2,4,0,0.2,0.9,6,24,10,0.0,0.5,0.04,0.23,N/a,N/a,N/a,N/a,0.0,0.0,0.00,18.1,221,85.0,980,89.1,91.0,44.4,4,21,9,3,24,9,2.24,2,0.5,8,5,12,10,4,1,3,5,318,19,91,155,73,6,12,41.7,41.7,178,366,6,8,0,10,6,245,10,8,8,0,4,19,2,2,50.0,0
Guido Rodríguez,ARG,West Ham,MF,31,20,14,1018,0,0,5,0,0.2,0.1,2,31,5,0.0,0.0,0.02,0.01,N/a,N/a,N/a,N/a,12.5,0.09,0.00,27.8,419,84.1,2000,87.4,91.4,62.7,3,36,1,0,31,10,0.88,0,0.0,30,16,30,16,21,9,12,12,617,42,196,366,56,2,3,66.7,0.0,284,392,2,5,0,2,6,354,5,15,11,1,4,46,8,7,53.3,0
Hamza Choudhury,BAN,Leicester City,"MF,DF",27,4,1,131,0,0,0,0,0.0,0.4,4,3,6,0.0,0.0,0.0,0.27,N/a,N/a,N/a,N/a,N/a,0.0,N/a,N/a,72,85.7,249,94.0,79.3,50.0,2,10,1,1,3,3,2.05,0,0.0,1,1,3,2,4,2,2,5,100,4,19,61,20,3,4,75.0,25.0,63,130,4,2,2,1,0,71,6,1,0,0,5,2,0,0,N/a,0
Harrison Reed,ENG,Fulham,MF,30,11,0,93,0,0,2,0,0.2,0.1,1,4,7,0.0,0.0,0.22,0.07,N/a,N/a,N/a,N/a,66.7,1.94,0.00,21.7,39,72.2,138,87.5,81.3,40.0,1,1,1,0,4,1,0.97,0,0.0,6,3,3,2,1,0,1,1,77,2,11,28,39,5,2,0.0,50.0,31,27,1,1,0,2,2,38,7,6,2,0,5,10,1,2,33.3,0
Harry Amass,ENG,Manchester Utd,DF,18,3,2,166,0,0,0,0,0.0,0.0,5,4,12,0.0,0.0,0.01,0.01,N/a,N/a,N/a,N/a,0.0,0.0,0.00,29.6,77,82.8,172,91.4,76.0,25.0,1,3,0,0,4,5,2.71,0,0.0,4,1,3,2,3,0,3,1,121,7,39,37,46,2,3,66.7,33.3,61,178,5,4,1,6,4,64,12,2,3,1,4,10,5,1,83.3,0
Harry Clarke,ENG,Ipswich Town,DF,24,7,4,379,0,0,3,1,0.1,0.0,5,14,2,0.0,0.0,0.02,0.01,N/a,N/a,N/a,N/a,100.0,0.24,0.00,4.5,190,80.5,1226,91.6,87.5,57.5,1,21,1,0,14,1,0.24,0,0.0,5,3,6,3,5,4,1,4,268,18,100,122,47,2,2,50.0,50.0,118,222,5,7,0,4,2,163,2,5,1,0,5,17,10,4,71.4,0
Harry Maguire,ENG,Manchester Utd,DF,32,22,16,1418,1,0,7,0,1.4,0.3,6,42,5,0.06,0.0,0.09,0.02,N/a,N/a,N/a,N/a,36.4,0.25,0.09,8.1,788,86.3,4900,91.6,91.1,57.8,6,39,3,0,42,15,0.95,0,0.0,26,13,17,4,14,12,2,36,1085,133,541,497,60,35,5,40.0,60.0,640,1629,6,6,3,6,2,702,5,16,6,1,2,53,51,21,70.8,0
Harry Toffolo,ENG,Nott'ham Forest,DF,29,4,1,137,0,0,1,0,0.0,0.0,0,2,4,0.0,0.0,0.01,0.0,N/a,N/a,N/a,N/a,0.0,0.0,0.00,28.5,47,70.1,304,93.8,62.5,14.3,0,1,0,0,2,0,0.0,0,0.0,5,3,4,1,2,2,0,2,88,9,32,22,34,2,0,N/a,N/a,17,23,0,0,0,0,0,30,4,1,0,0,4,2,1,0,100.0,0
Adam Armstrong,ENG,Southampton,"FW,MF",28,20,15,1248,2,2,4,0,3.3,1.2,25,21,79,0.14,0.14,0.24,0.09,N/a,N/a,N/a,N/a,28.0,0.5,0.08,16.6,231,80.2,446,87.3,85.3,46.2,9,10,8,2,21,19,1.37,4,0.29,12,3,14,11,6,1,5,3,377,11,44,143,192,49,14,42.9,57.1,235,599,25,13,6,11,18,286,79,12,5,9,14,23,5,9,35.7,0
Harry Wilson,WAL,Fulham,"FW,MF",28,21,9,937,5,1,2,0,3.3,1.1,16,46,79,0.48,0.1,0.31,0.1,N/a,N/a,N/a,N/a,31.0,0.86,0.17,17.7,279,73.6,1219,84.6,78.4,44.1,19,23,13,1,46,36,3.46,3,0.29,13,8,15,6,13,1,12,5,485,7,62,175,257,45,24,37.5,41.7,288,669,16,19,8,13,5,326,79,10,18,1,35,44,4,18,18.2,0
Christian Walton,ENG,Ipswich Town,GK,29,6,6,540,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,2.67,57.6,16.7,0.0,N/a,0.0,N/a,N/a,152,67.3,2976,100.0,97.2,36.8,1,1,0,0,0,2,0.33,0,0.0,0,0,1,1,0,0,0,0,242,224,241,1,0,0,0,N/a,N/a,122,305,0,0,0,0,0,117,0,0,1,0,0,5,2,0,100.0,0
Abdul Fatawu Issahaku,GHA,Leicester City,FW,21,11,6,579,0,2,0,0,0.4,1.6,42,17,60,0.0,0.31,0.06,0.24,N/a,N/a,N/a,N/a,38.5,0.78,0.00,31.2,123,62.4,601,72.8,76.3,48.5,6,7,7,2,17,17,2.64,3,0.47,21,15,19,8,7,0,7,4,326,19,73,114,157,26,69,42.0,40.6,217,1055,42,24,15,18,12,216,60,11,20,2,30,38,14,13,51.9,0
Charlie Taylor,ENG,Southampton,DF,31,7,2,266,0,0,1,0,0.0,0.1,3,8,6,0.0,0.0,0.0,0.03,N/a,N/a,N/a,N/a,N/a,0.0,N/a,N/a,154,87.0,691,94.0,89.5,70.6,1,8,2,1,8,2,0.68,1,0.34,7,5,6,1,5,3,2,3,219,21,93,91,36,1,2,100.0,0.0,91,155,3,3,0,1,1,133,6,2,2,0,9,7,4,2,66.7,0
Abdukodir Khusanov,UZB,Manchester City,DF,21,6,6,503,0,0,1,0,0.0,0.1,1,25,2,0.0,0.0,0.0,0.02,N/a,N/a,N/a,N/a,0.0,0.0,0.00,23.9,360,91.1,1976,94.7,97.0,26.1,2,23,0,0,25,5,0.89,0,0.0,5,4,3,1,5,4,1,3,445,45,205,211,31,1,2,0.0,100.0,274,435,1,1,0,2,1,332,2,3,3,0,1,27,6,4,60.0,0
Cheick Doucouré,MLI,Crystal Palace,MF,25,13,4,452,0,0,1,0,0.4,0.0,2,19,7,0.0,0.0,0.08,0.0,N/a,N/a,N/a,N/a,0.0,0.0,0.00,20.6,174,85.3,823,89.4,89.7,80.0,1,17,3,0,19,9,1.79,3,0.6,16,8,11,6,4,0,4,11,263,11,56,165,45,4,5,40.0,40.0,133,280,2,7,1,4,7,160,7,7,7,0,1,31,5,5,50.0,0
Harvey Elliott,ENG,Liverpool,"MF,FW",22,13,0,184,0,1,0,0,0.5,0.9,7,24,23,0.0,0.49,0.23,0.42,N/a,N/a,N/a,N/a,20.0,0.98,0.00,16.8,142,80.2,609,91.7,77.0,66.7,5,13,4,0,24,11,5.38,2,0.98,3,2,3,3,3,1,2,1,202,2,19,85,99,13,5,40.0,60.0,120,256,7,7,5,2,4,153,23,0,0,1,10,10,1,1,50.0,0
Hwang Hee-chan,KOR,Wolves,"MF,FW",29,19,5,645,2,0,0,0,0.8,0.1,15,12,40,0.28,0.0,0.11,0.02,N/a,N/a,N/a,N/a,60.0,0.42,0.40,17.4,159,81.5,395,87.0,85.1,80.0,3,7,4,2,12,9,1.25,1,0.14,6,4,6,4,9,0,9,2,260,9,41,98,123,23,13,15.4,84.6,150,426,15,5,7,13,10,172,40,6,8,0,8,27,3,9,25.0,0
