Name,Nation,Team,Position,Age,Playing Time: matches played,Playing Time: starts,Playing Time: minutes,Performance: goals,Performance: assists,Performance: yellow cards,Performance: red cards,Expected: expected goals (xG),Expected: expected Assist Goals (xAG),Progression: PrgC,Progression: PrgP,Progression: PrgR,Per 90 minutes: Gls,Per 90 minutes: Ast,Per 90 minutes: xG,Per 90 minutes: xGA,Performance: goals against per 90mins (GA90),Performance: Save%,Performance: CS%,Penalty Kicks: penalty kicks Save%,Standard: shoots on target percentage (SoT%),Standard: Shoot on Target per 90min (SoT/90),Standard: goals/shot (G/sh),Standard: average shoot distance (Dist),Total: passes completed (Cmp),Total: Pass completion (Cmp%),Total: progressive passing distance (TotDist),Short: Pass completion (Cmp%),Medium: Pass completion (Cmp%),Long: Pass completion (Cmp%),Expected: key passes (KP),Expected: pass into final third (1/3),Expected: pass into penalty area (PPA),Expected: CrsPA,Expected: PrgP,SCA: SCA,SCA: SCA90,GCA: GCA,GCA: GCA90,Tackles: Tkl,Tackles: TklW,Challenges: Att,Challenges: Lost,Blocks: Blocks,Blocks: Sh,Blocks: Pass,Blocks: Int,Touches: Touches,Touches: Def Pen,Touches: Def 3rd,Touches: Mid 3rd,Touches: Att 3rd,Touches: Att Pen,Take-Ons: Att,Take-Ons: Succ%,Take-Ons: Tkld%,Carries: Carries,Carries: ProDist,Carries: ProgC,Carries: 1/3,Carries: CPA,Carries: Mis,Carries: Dis,Receiving: Rec,Receiving: PrgR,Performance: Fls,Performance: Fld,Performance: Off,Performance: Crs,Performance: Recov,Aerial Duels: Won,Aerial Duels: Lost,Aerial Duels: Won%,Cluster
Renato Veiga,POR,Chelsea,"DF,MF",21,7,1,181,0,0,2,0,0.1,0.0,4,7,3,0.0,0.0,0.07,0.0,N/a,N/a,N/a,N/a,33.3,0.5,0.00,17.1,118,84.9,435,88.2,90.2,61.9,0,6,1,0,7,1,0.49,0,0.0,9,6,12,8,3,1,2,1,167,2,61,82,27,3,5,60.0,40.0,85,144,4,5,1,1,0,110,3,6,1,1,0,9,3,3,50.0,0
Reiss Nelson,ENG,Fulham,FW,25,11,5,487,1,1,1,0,1.1,1.0,45,35,63,0.18,0.18,0.2,0.18,N/a,N/a,N/a,N/a,50.0,1.11,0.08,15.4,232,86.6,761,92.5,84.6,63.2,13,7,15,3,35,31,5.73,1,0.18,8,6,13,8,11,0,11,5,347,5,30,110,212,35,35,37.1,37.1,259,960,45,25,21,14,8,274,63,6,9,1,23,29,0,4,0.0,0
Reiss Nelson,ENG,Arsenal,FW,25,1,0,3,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,N/a,N/a,N/a,N/a,N/a,0.0,N/a,N/a,0,N/a,0,N/a,N/a,N/a,0,0,0,0,0,0,0.0,0,0.0,1,0,1,1,0,0,0,0,2,0,1,1,0,0,0,N/a,N/a,1,4,0,0,0,0,0,1,0,1,1,0,0,0,0,0,N/a,0
Reece James,ENG,Chelsea,"DF,MF",25,15,10,835,1,0,1,0,0.3,0.5,6,51,9,0.11,0.0,0.03,0.06,N/a,N/a,N/a,N/a,37.5,0.32,0.13,23.2,572,84.5,3532,94.3,88.9,51.5,10,72,5,1,51,15,1.62,1,0.11,9,9,9,6,12,4,8,12,759,32,213,423,128,4,16,37.5,37.5,397,728,6,4,0,6,5,480,9,6,10,0,38,53,21,6,77.8,0
Rasmus Højlund,DEN,Manchester Utd,FW,22,28,19,1654,3,0,2,0,3.4,1.2,26,16,82,0.16,0.0,0.18,0.06,N/a,N/a,N/a,N/a,37.5,0.49,0.13,13.1,210,77.2,432,83.4,73.5,75.0,13,12,5,1,16,30,1.63,1,0.05,3,1,4,4,4,0,4,1,422,5,28,211,190,56,28,28.6,64.3,263,619,26,13,16,56,27,335,82,15,25,10,6,28,21,79,21.0,0
Ramón Sosa,PAR,Nott'ham Forest,"FW,MF",25,17,1,264,1,0,1,0,0.9,0.5,12,4,15,0.34,0.0,0.32,0.17,N/a,N/a,N/a,N/a,50.0,1.7,0.10,18.9,61,67.0,258,68.2,66.7,71.4,8,2,5,3,4,14,4.74,0,0.0,5,3,4,3,7,0,7,3,137,5,32,40,70,13,11,72.7,27.3,68,320,12,7,5,5,5,74,15,6,8,3,8,20,4,7,36.4,0
Raheem Sterling,ENG,Arsenal,"FW,MF",30,15,6,432,0,2,1,0,1.3,0.5,25,17,71,0.0,0.42,0.27,0.1,N/a,N/a,N/a,N/a,0.0,0.0,0.00,15.0,138,77.1,352,86.7,74.5,66.7,8,4,9,2,17,18,3.75,3,0.62,8,4,8,4,3,0,3,1,241,2,8,51,185,35,23,39.1,34.8,172,681,25,9,15,11,14,183,71,12,3,4,14,13,1,3,25.0,0
Radu Drăgușin,ROU,Tottenham,DF,23,16,14,1252,0,0,1,0,0.1,0.4,7,37,2,0.0,0.0,0.01,0.03,N/a,N/a,N/a,N/a,20.0,0.07,0.00,12.7,716,85.2,5250,91.0,93.0,43.9,4,52,2,1,37,8,0.58,1,0.07,10,6,12,6,22,16,6,15,961,148,510,430,30,12,2,0.0,0.0,623,1666,7,3,0,8,2,669,2,6,10,0,1,48,33,22,60.0,0
Philip Billing,DEN,Bournemouth,MF,28,10,1,184,0,0,1,0,0.6,1.1,3,15,13,0.0,0.0,0.28,0.54,N/a,N/a,N/a,N/a,20.0,0.49,0.00,17.9,70,68.6,400,84.3,70.4,26.7,9,9,7,2,15,16,7.83,0,0.0,14,5,4,1,3,0,3,5,148,5,20,72,57,12,3,33.3,0.0,58,163,3,1,1,7,4,75,13,3,2,0,10,14,6,4,60.0,0
Paul Onuachu,NGA,Southampton,FW,30,23,11,984,4,1,4,0,3.3,0.5,7,12,39,0.37,0.09,0.3,0.04,N/a,N/a,N/a,N/a,43.8,1.28,0.13,10.4,151,61.4,343,63.8,61.3,63.2,8,13,2,0,12,9,0.82,1,0.09,7,2,7,4,6,1,5,1,410,15,41,220,152,60,25,28.0,56.0,198,237,7,5,2,46,33,336,39,26,15,9,0,17,88,54,62.0,0
Patson Daka,ZAM,Leicester City,"FW,MF",26,20,5,647,1,0,0,0,1.3,0.1,9,8,33,0.14,0.0,0.17,0.01,N/a,N/a,N/a,N/a,26.7,0.56,0.07,14.8,100,71.9,254,80.3,72.1,100.0,1,6,1,0,8,10,1.39,1,0.14,17,9,17,10,7,1,6,1,234,8,38,108,92,27,15,13.3,66.7,132,280,9,6,4,18,10,156,33,11,16,3,3,17,10,27,27.0,0
Ross Stewart,SCO,Southampton,FW,28,8,2,241,0,0,1,0,0.2,0.0,1,1,6,0.0,0.0,0.07,0.0,N/a,N/a,N/a,N/a,0.0,0.0,0.00,12.4,47,75.8,63,79.3,87.5,0.0,0,1,1,0,1,2,0.75,0,0.0,3,2,5,4,3,0,3,0,90,7,21,35,34,5,2,50.0,50.0,46,61,1,0,1,5,7,67,6,6,5,1,0,2,7,13,35.0,0
Igor,BRA,Brighton,DF,27,12,9,903,0,0,4,0,0.0,0.2,9,44,0,0.0,0.0,0.0,0.02,N/a,N/a,N/a,N/a,0.0,0.0,0.00,14.1,628,92.1,3723,96.5,95.2,71.4,1,35,2,1,44,11,1.1,0,0.0,4,4,10,6,23,14,9,4,764,109,377,353,38,1,4,75.0,25.0,497,1782,9,14,0,1,0,568,0,9,6,0,2,40,8,6,57.1,0
Łukasz Fabiański,POL,West Ham,GK,40,13,12,1070,0,0,2,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1.68,74.6,16.7,0.0,N/a,0.0,N/a,N/a,304,67.0,6129,100.0,99.3,41.3,0,4,0,0,0,3,0.25,0,0.0,0,0,1,1,0,0,0,0,488,382,483,5,0,0,2,100.0,0.0,258,845,0,0,0,0,0,227,0,2,1,0,0,5,2,1,66.7,0
Ederson,BRA,Manchester City,GK,31,22,22,1960,0,4,3,0,0.0,1.5,0,1,0,0.0,0.18,0.0,0.07,1.15,68.5,31.8,0.0,N/a,0.0,N/a,N/a,693,88.1,11243,100.0,98.3,65.7,4,20,1,0,1,6,0.28,4,0.18,0,0,2,2,0,0,0,1,833,587,824,9,0,0,0,N/a,N/a,563,1671,0,0,0,1,0,529,0,1,0,0,0,37,4,1,80.0,0
Armel Bella Kotchap,GER,Southampton,DF,23,4,2,331,0,0,0,0,0.3,0.0,0,5,0,0.0,0.0,0.09,0.0,N/a,N/a,N/a,N/a,0.0,0.0,0.00,9.1,202,90.2,956,98.5,96.7,55.2,0,6,0,0,5,2,0.54,0,0.0,7,5,6,3,2,2,0,5,263,33,147,115,3,1,1,0.0,100.0,186,326,0,0,0,1,0,192,0,3,2,0,0,19,6,5,54.5,0
Eddie Nketiah,ENG,Crystal Palace,"FW,MF",25,25,8,880,1,1,5,1,4.3,1.5,37,17,65,0.1,0.1,0.44,0.15,N/a,N/a,N/a,N/a,33.3,1.23,0.03,14.4,165,75.0,509,79.5,83.3,70.6,11,11,4,0,17,26,2.66,2,0.2,12,5,11,6,10,1,9,2,360,10,39,150,178,59,19,52.6,31.6,211,807,37,22,13,30,15,256,65,25,23,3,5,21,18,31,36.7,0
Caleb Okoli,ITA,Leicester City,DF,23,18,12,1124,1,0,4,0,0.6,0.0,3,32,2,0.08,0.0,0.05,0.0,N/a,N/a,N/a,N/a,50.0,0.16,0.25,13.5,558,86.4,3849,91.3,91.0,55.4,0,21,1,0,32,4,0.32,0,0.0,25,14,18,7,24,14,10,15,804,152,450,324,35,10,0,N/a,N/a,467,1106,3,6,0,10,2,483,2,16,9,0,1,44,23,21,52.3,0
Armando Broja,ALB,Everton,FW,23,10,4,334,0,0,1,0,0.1,0.2,12,2,26,0.0,0.0,0.03,0.05,N/a,N/a,N/a,N/a,0.0,0.0,0.00,17.3,53,72.6,101,77.8,83.3,66.7,4,3,0,0,2,7,1.89,0,0.0,3,1,0,0,3,0,3,1,127,4,14,47,72,18,16,50.0,43.8,64,281,12,8,3,16,13,94,26,6,4,3,1,9,18,21,46.2,0
Callum Wilson,ENG,Newcastle Utd,FW,33,14,1,268,0,0,1,0,0.3,0.1,5,3,11,0.0,0.0,0.11,0.02,N/a,N/a,N/a,N/a,0.0,0.0,0.00,15.0,27,69.2,77,76.5,80.0,N/a,1,1,0,0,3,6,2.01,0,0.0,2,2,2,2,2,0,2,1,71,1,5,41,28,15,5,20.0,40.0,36,92,5,4,5,11,8,42,11,2,1,3,1,10,2,12,14.3,0
Edmond-Paris Maghoma,ENG,Brentford,"MF,FW",23,8,0,119,0,0,0,0,0.1,0.1,4,13,4,0.0,0.0,0.09,0.08,N/a,N/a,N/a,N/a,0.0,0.0,0.00,23.8,76,90.5,343,95.0,93.5,85.7,1,2,0,0,13,4,3.03,1,0.76,2,1,3,2,2,2,0,1,101,2,18,58,27,4,4,75.0,25.0,68,221,4,3,1,2,0,75,4,2,4,0,3,7,1,3,25.0,0
Arijanet Muric,KVX,Ipswich Town,GK,26,18,18,1620,0,0,1,0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,1.83,70.0,5.6,0.0,N/a,0.0,N/a,N/a,454,71.7,8247,100.0,97.3,40.6,0,14,0,0,1,1,0.06,0,0.0,0,0,2,2,0,0,0,0,689,559,672,18,0,0,0,N/a,N/a,405,1178,0,0,0,3,1,321,0,0,4,0,0,26,11,1,91.7,0
Cameron Archer,ENG,Southampton,FW,23,31,13,1361,2,0,0,0,5.1,0.4,19,14,62,0.13,0.0,0.34,0.02,N/a,N/a,N/a,N/a,33.3,0.6,0.07,13.1,190,81.2,337,85.6,91.5,55.6,3,6,7,0,14,17,1.13,0,0.0,11,7,9,7,5,1,4,2,361,16,59,162,143,49,31,45.2,51.6,207,499,19,9,14,33,24,252,62,16,12,7,3,34,8,27,22.9,0
