Name,Nation,Team,Position,Age,Playing Time: matches played,Playing Time: starts,Playing Time: minutes,Performance: goals,Performance: assists,Performance: yellow cards,Performance: red cards,Expected: expected goals (xG),Expected: expected Assist Goals (xAG),Progression: PrgC,Progression: PrgP,Progression: PrgR,Per 90 minutes: Gls,Per 90 minutes: Ast,Per 90 minutes: xG,Per 90 minutes: xGA,Performance: goals against per 90mins (GA90),Performance: Save%,Performance: CS%,Penalty Kicks: penalty kicks Save%,Standard: shoots on target percentage (SoT%),Standard: Shoot on Target per 90min (SoT/90),Standard: goals/shot (G/sh),Standard: average shoot distance (Dist),Total: passes completed (Cmp),Total: Pass completion (Cmp%),Total: progressive passing distance (TotDist),Short: Pass completion (Cmp%),Medium: Pass completion (Cmp%),Long: Pass completion (Cmp%),Expected: key passes (KP),Expected: pass into final third (1/3),Expected: pass into penalty area (PPA),Expected: CrsPA,Expected: PrgP,SCA: SCA,SCA: SCA90,GCA: GCA,GCA: GCA90,Tackles: Tkl,Tackles: TklW,Challenges: Att,Challenges: Lost,Blocks: Blocks,Blocks: Sh,Blocks: Pass,Blocks: Int,Touches: Touches,Touches: Def Pen,Touches: Def 3rd,Touches: Mid 3rd,Touches: Att 3rd,Touches: Att Pen,Take-Ons: Att,Take-Ons: Succ%,Take-Ons: Tkld%,Carries: Carries,Carries: ProDist,Carries: ProgC,Carries: 1/3,Carries: CPA,Carries: Mis,Carries: Dis,Receiving: Rec,Receiving: PrgR,Performance: Fls,Performance: Fld,Performance: Off,Performance: Crs,Performance: Recov,Aerial Duels: Won,Aerial Duels: Lost,Aerial Duels: Won%
William Osula,DEN,Newcastle Utd,FW,21,12,0,104,1,0,0,0,0.1,0.1,2,2,12,0.87,0.00,0.10,0.08,N/a,N/a,N/a,N/a,33.3,0.87,0.33,14.5,11,61.1,126,61.5,50.0,N/a,1,0,1,0,2,2,1.73,0,0.00,1,0,2,2,0,0,0,4,41,1,2,17,22,4,6,50.0,50.0,25,55,2,1,0,5,5,27,12,2,1,1,1,2,4,1,80.0
William Saliba,FRA,Arsenal,DF,24,33,33,2904,2,0,2,1,2.3,0.9,16,134,6,0.06,0.00,0.07,0.03,N/a,N/a,N/a,N/a,33.3,0.06,0.33,5.4,2319,94.2,39915,95.7,95.9,79.9,7,175,6,0,134,26,0.81,1,0.03,60,36,27,6,24,15,9,21,2715,178,1070,1519,141,18,18,66.7,27.8,1674,4007,16,17,1,18,8,2055,6,28,17,1,3,146,58,36,61.7
William Smallbone,IRL,Southampton,MF,25,15,6,646,1,0,1,0,0.4,0.6,5,25,23,0.14,0.00,0.06,0.09,N/a,N/a,N/a,N/a,16.7,0.14,0.17,19.3,257,77.6,4218,87.1,85.0,38.8,9,11,3,2,25,15,2.09,0,0.00,18,11,21,14,8,0,8,2,401,15,76,198,131,14,6,66.7,33.3,182,391,5,9,1,11,5,243,23,11,3,0,34,23,4,2,66.7
Willian,BRA,Fulham,"FW,MF",36,9,2,241,0,0,0,0,0.3,0.5,9,38,31,0.00,0.00,0.10,0.17,N/a,N/a,N/a,N/a,0.0,0.00,0.00,22.1,163,85.8,2905,94.2,86.1,73.7,5,18,10,2,38,15,5.60,0,0.00,3,1,5,4,0,0,0,1,211,1,17,76,122,6,6,16.7,50.0,139,460,9,9,2,3,1,168,31,1,0,0,13,14,1,2,33.3
Willy Boly,CIV,Nott'ham Forest,DF,34,6,1,150,0,0,1,0,0.1,0.0,0,2,0,0.00,0.00,0.04,0.00,N/a,N/a,N/a,N/a,100.0,0.60,0.00,10.2,55,78.6,1010,90.9,93.8,26.7,0,3,0,0,2,0,0.00,0,0.00,6,1,4,0,4,2,2,3,97,22,63,32,2,1,0,N/a,N/a,35,45,0,0,0,1,0,46,0,1,0,0,0,5,6,2,75.0
Wilson Odobert,FRA,Tottenham,FW,20,12,6,539,0,0,0,0,0.7,0.9,38,19,54,0.00,0.00,0.12,0.15,N/a,N/a,N/a,N/a,20.0,0.33,0.00,17.3,166,77.9,2170,92.1,70.4,55.6,5,6,10,3,19,12,2.01,1,0.17,8,2,10,5,4,0,4,3,291,4,28,103,162,31,28,39.3,50.0,209,981,38,20,17,15,13,219,54,0,3,0,20,27,3,4,42.9
Wout Faes,BEL,Leicester City,DF,27,31,27,2545,1,0,4,0,1.4,0.1,12,80,1,0.04,0.00,0.05,0.00,N/a,N/a,N/a,N/a,9.1,0.04,0.09,10.0,1250,87.7,23182,93.8,95.0,53.9,4,79,6,0,80,17,0.60,0,0.00,39,23,43,20,45,33,12,26,1733,276,850,824,67,26,6,83.3,16.7,1003,2689,12,13,2,16,6,1151,1,21,10,1,5,87,41,34,54.7
Woyo Coulibaly,FRA,Leicester City,DF,25,4,1,109,0,0,1,0,0.0,0.0,4,3,2,0.00,0.00,0.04,0.00,N/a,N/a,N/a,N/a,50.0,0.83,0.00,19.4,48,84.2,797,82.4,84.2,100.0,0,3,0,0,3,0,0.00,0,0.00,6,4,2,0,3,1,2,5,76,8,27,31,20,4,1,0.0,100.0,48,169,4,2,1,4,0,36,2,2,1,0,0,14,0,3,0.0
Yankuba Minteh,GAM,Brighton,"FW,MF",20,28,16,1498,5,4,6,0,3.7,4.7,68,37,159,0.30,0.24,0.22,0.29,N/a,N/a,N/a,N/a,46.4,0.78,0.18,13.6,283,61.7,4572,77.6,61.6,46.7,25,12,28,7,37,52,3.13,10,0.60,43,31,45,28,17,0,17,10,687,27,122,194,389,118,81,46.9,44.4,392,1681,68,18,54,42,19,405,159,17,9,4,73,73,16,25,39.0
Yasin Ayari,SWE,Brighton,MF,21,30,19,1737,1,1,3,0,2.2,2.2,30,66,59,0.05,0.05,0.12,0.11,N/a,N/a,N/a,N/a,28.0,0.36,0.04,19.0,707,81.4,10616,91.6,85.0,37.5,28,51,17,4,66,58,3.00,6,0.31,53,29,50,30,22,6,16,20,1103,52,243,560,316,43,41,41.5,36.6,581,1389,30,25,6,32,21,712,59,31,23,3,64,105,13,19,40.6
Yehor Yarmoliuk,UKR,Brentford,MF,21,27,11,1129,0,0,5,0,0.6,0.4,14,48,43,0.00,0.00,0.05,0.03,N/a,N/a,N/a,N/a,22.2,0.16,0.00,15.9,499,85.6,8728,86.3,88.5,84.4,8,58,6,3,48,21,1.68,2,0.16,37,23,46,23,23,6,17,10,748,51,209,387,167,15,21,47.6,42.9,386,708,14,15,3,24,16,462,43,12,9,2,13,89,8,6,57.1
Yerson Mosquera,COL,Wolves,DF,24,5,5,441,0,0,2,0,0.3,0.1,0,7,0,0.00,0.00,0.07,0.02,N/a,N/a,N/a,N/a,0.0,0.00,0.00,12.4,205,85.4,3996,90.4,93.5,62.9,2,16,1,1,7,5,1.02,0,0.00,11,7,14,5,13,10,3,10,294,43,170,115,12,7,0,N/a,N/a,168,322,0,1,0,4,1,182,0,6,7,1,2,24,11,6,64.7
Yoane Wissa,COD,Brentford,FW,28,31,30,2560,17,3,2,0,15.3,1.8,50,57,132,0.60,0.11,0.54,0.06,N/a,N/a,N/a,N/a,46.1,1.23,0.22,13.6,399,76.7,5784,85.7,75.5,59.5,23,41,9,1,57,60,2.11,8,0.28,21,11,25,15,28,7,21,8,822,31,126,334,375,140,44,29.5,50.0,483,1383,50,21,27,65,29,584,132,26,46,14,20,63,28,34,45.2
Youri Tielemans,BEL,Aston Villa,MF,27,35,35,2997,3,7,4,0,3.2,6.9,39,234,48,0.09,0.21,0.09,0.21,N/a,N/a,N/a,N/a,31.6,0.36,0.08,20.4,1679,82.1,28816,89.7,87.4,54.1,59,228,37,4,234,119,3.57,12,0.36,83,57,73,33,37,16,21,22,2359,100,471,1356,557,42,58,53.4,31.0,1272,2536,39,26,9,30,29,1653,48,41,56,0,118,145,22,18,55.0
Yukinari Sugawara,JPN,Southampton,"DF,MF",24,29,15,1467,1,1,4,0,0.5,2.2,32,68,76,0.06,0.06,0.03,0.14,N/a,N/a,N/a,N/a,38.5,0.31,0.08,19.2,689,79.9,10831,88.2,82.9,47.9,17,43,21,9,68,39,2.39,1,0.06,29,16,30,12,17,7,10,10,1023,61,306,395,327,29,20,45.0,50.0,553,1354,32,15,7,18,4,692,76,15,9,4,69,40,5,9,35.7
Yves Bissouma,MLI,Tottenham,MF,28,24,15,1210,2,0,7,0,0.6,0.3,15,71,3,0.15,0.00,0.04,0.02,N/a,N/a,N/a,N/a,40.0,0.30,0.20,23.2,693,89.4,10536,92.9,93.4,63.2,6,57,10,1,71,15,1.12,0,0.00,44,28,32,15,7,4,3,14,938,58,261,535,148,5,21,33.3,66.7,564,1513,15,17,0,22,13,657,3,22,18,0,2,71,4,7,36.4
Álex Moreno,ESP,Nott'ham Forest,"DF,MF",31,15,11,955,0,1,2,0,0.2,1.3,26,34,34,0.00,0.09,0.02,0.12,N/a,N/a,N/a,N/a,0.0,0.00,0.00,23.7,308,72.0,4574,87.6,64.2,35.0,8,25,9,2,34,16,1.51,2,0.19,25,18,39,24,11,5,6,15,559,60,210,202,158,8,21,38.1,38.1,229,864,26,16,4,13,6,258,34,12,6,0,19,50,3,11,21.4
İlkay Gündoğan,GER,Manchester City,MF,34,31,23,2050,0,5,1,0,2.7,2.8,57,115,86,0.00,0.22,0.12,0.12,N/a,N/a,N/a,N/a,20.0,0.22,0.00,18.3,1408,89.3,21666,94.4,91.9,62.9,37,97,21,2,115,74,3.25,11,0.48,24,13,23,13,14,0,14,13,1748,43,256,848,664,60,35,45.7,37.1,1035,2813,57,52,9,27,24,1366,86,15,21,0,57,105,13,11,54.2
Łukasz Fabiański,POL,West Ham,GK,40,13,12,1070,0,0,2,0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,1.68,74.6,16.7,0.0,N/a,0.00,N/a,N/a,304,67.0,8756,100.0,99.3,41.3,0,4,0,0,0,3,0.25,0,0.00,0,0,1,1,0,0,0,0,488,382,483,5,0,0,2,100.0,0.0,258,845,0,0,0,0,0,227,0,2,1,0,0,5,2,1,66.7
