Name,Nation,Team,Position,Age,Playing Time: matches played,Playing Time: starts,Playing Time: minutes,Performance: goals,Performance: assists,Performance: yellow cards,Performance: red cards,Expected: expected goals (xG),Expected: expected Assist Goals (xAG),Progression: PrgC,Progression: PrgP,Progression: PrgR,Per 90 minutes: Gls,Per 90 minutes: Ast,Per 90 minutes: xG,Per 90 minutes: xGA,Performance: goals against per 90mins (GA90),Performance: Save%,Performance: CS%,Penalty Kicks: penalty kicks Save%,Standard: shoots on target percentage (SoT%),Standard: Shoot on Target per 90min (SoT/90),Standard: goals/shot (G/sh),Standard: average shoot distance (Dist),Total: passes completed (Cmp),Total: Pass completion (Cmp%),Total: progressive passing distance (TotDist),Short: Pass completion (Cmp%),Medium: Pass completion (Cmp%),Long: Pass completion (Cmp%),Expected: key passes (KP),Expected: pass into final third (1/3),Expected: pass into penalty area (PPA),Expected: CrsPA,Expected: PrgP,SCA: SCA,SCA: SCA90,GCA: GCA,GCA: GCA90,Tackles: Tkl,Tackles: TklW,Challenges: Att,Challenges: Lost,Blocks: Blocks,Blocks: Sh,Blocks: Pass,Blocks: Int,Touches: Touches,Touches: Def Pen,Touches: Def 3rd,Touches: Mid 3rd,Touches: Att 3rd,Touches: Att Pen,Take-Ons: Att,Take-Ons: Succ%,Take-Ons: Tkld%,Carries: Carries,Carries: ProDist,Carries: ProgC,Carries: 1/3,Carries: CPA,Carries: Mis,Carries: Dis,Receiving: Rec,Receiving: PrgR,Performance: Fls,Performance: Fld,Performance: Off,Performance: Crs,Performance: Recov,Aerial Duels: Won,Aerial Duels: Lost,Aerial Duels: Won%
Thomas Partey,GHA,Arsenal,"MF,DF",31,32,28,2527,4,2,4,0,2.0,1.9,32,171,47,0.14,0.07,0.07,0.07,N/a,N/a,N/a,N/a,30.4,0.25,0.17,19.5,1523,87.3,24341,92.9,88.5,66.4,17,151,33,2,171,58,2.07,13,0.46,80,49,72,28,25,7,18,33,1987,66,416,1097,486,28,33,66.7,27.3,1125,3235,32,37,3,23,15,1415,47,40,28,1,12,123,26,22,54.2
Tim Iroegbunam,ENG,Everton,MF,21,17,5,567,0,1,4,0,0.2,0.2,8,14,9,0.00,0.16,0.04,0.03,N/a,N/a,N/a,N/a,0.0,0.00,0.00,22.5,110,71.9,1842,72.5,84.0,68.4,3,10,1,0,14,10,1.59,1,0.16,28,13,23,9,17,4,13,15,260,21,82,124,60,12,20,40.0,40.0,122,360,8,10,2,10,18,110,9,15,12,0,1,48,11,4,73.3
Timo Werner,GER,Tottenham,"FW,MF",29,18,4,516,0,3,0,0,1.0,2.5,42,30,89,0.00,0.52,0.17,0.44,N/a,N/a,N/a,N/a,37.5,0.52,0.00,18.2,158,66.9,2383,82.5,70.9,38.9,10,3,15,2,30,18,3.13,3,0.52,6,4,13,10,10,1,9,1,298,8,24,78,203,33,19,52.6,42.1,215,1062,42,24,18,14,6,227,89,3,5,5,28,18,0,1,0.0
Timothy Castagne,BEL,Fulham,DF,29,24,17,1649,0,1,1,0,0.4,1.2,17,62,67,0.00,0.05,0.02,0.07,N/a,N/a,N/a,N/a,37.5,0.16,0.00,14.0,780,81.8,12441,89.8,85.9,49.3,9,51,5,3,62,25,1.36,3,0.16,46,29,45,19,15,6,9,22,1164,92,449,462,259,32,12,41.7,41.7,547,1044,17,15,2,15,5,665,67,15,6,1,37,57,34,35,49.3
Toby Collyer,ENG,Manchester Utd,MF,21,6,0,179,0,0,0,0,0.2,0.3,0,5,2,0.00,0.00,0.09,0.13,N/a,N/a,N/a,N/a,0.0,0.00,0.00,6.2,76,82.6,1127,86.0,86.5,75.0,2,3,1,0,5,5,2.50,0,0.00,12,9,6,1,2,1,1,2,129,9,46,59,25,3,2,50.0,50.0,68,56,0,0,0,11,1,71,2,2,4,0,0,17,3,1,75.0
Tom Cairney,SCO,Fulham,MF,34,22,2,494,1,0,3,1,0.2,1.0,14,47,29,0.18,0.00,0.04,0.17,N/a,N/a,N/a,N/a,40.0,0.36,0.20,23.3,482,90.4,7576,93.4,93.3,74.4,10,46,7,3,47,28,5.08,3,0.54,11,5,7,3,5,1,4,4,576,6,83,305,196,12,12,33.3,33.3,385,884,14,15,4,5,4,468,29,8,17,0,17,44,4,8,33.3
Tommy Doyle,ENG,Wolves,MF,23,24,3,488,0,1,1,0,0.6,0.5,6,40,4,0.00,0.18,0.10,0.09,N/a,N/a,N/a,N/a,22.2,0.37,0.00,24.5,321,81.9,6591,94.1,89.0,65.6,7,44,3,0,40,17,3.13,3,0.55,11,6,15,9,11,5,6,5,463,22,128,258,80,4,9,55.6,11.1,260,578,6,3,0,9,4,303,4,5,5,0,15,43,1,6,14.3
Tomáš Souček,CZE,West Ham,MF,30,31,26,2251,8,1,8,0,5.9,1.0,6,68,62,0.32,0.04,0.24,0.04,N/a,N/a,N/a,N/a,28.0,0.56,0.16,11.2,623,73.8,10461,79.1,76.9,69.8,14,58,8,1,68,43,1.72,3,0.12,40,19,37,17,34,17,17,18,1115,110,309,544,266,96,11,54.5,45.5,433,456,6,10,3,17,10,666,62,41,24,4,11,52,90,65,58.1
Tosin Adarabioyo,ENG,Chelsea,DF,27,20,13,1229,1,1,3,0,0.9,0.2,5,37,1,0.07,0.07,0.07,0.02,N/a,N/a,N/a,N/a,16.7,0.15,0.08,12.5,988,91.4,18105,95.7,94.9,61.1,1,53,1,0,37,12,0.88,1,0.07,14,10,12,4,9,7,2,10,1198,160,570,603,26,13,5,80.0,0.0,713,1690,5,2,0,3,0,916,1,8,6,1,0,34,36,26,58.1
Toti Gomes,POR,Wolves,DF,26,28,27,2344,0,1,6,0,0.7,0.9,21,67,15,0.00,0.04,0.03,0.04,N/a,N/a,N/a,N/a,28.6,0.08,0.00,11.6,1272,85.1,21197,91.3,92.4,49.3,9,72,5,3,67,20,0.77,1,0.04,53,38,37,7,28,17,11,23,1772,207,847,851,95,15,28,67.9,25.0,1028,2641,21,18,0,16,13,1202,15,23,14,4,13,100,48,24,66.7
Trent Alexander-Arnold,ENG,Liverpool,DF,26,30,27,2240,3,6,5,0,1.8,6.7,49,211,87,0.12,0.24,0.07,0.27,N/a,N/a,N/a,N/a,19.0,0.32,0.07,23.5,1357,73.6,26053,89.8,76.1,49.3,50,192,62,20,211,93,3.73,10,0.40,70,49,101,53,25,8,17,30,2111,85,565,942,618,42,31,45.2,48.4,1109,2732,49,35,8,19,15,1342,87,11,7,1,142,126,3,13,18.8
Trevoh Chalobah,ENG,Crystal Palace,DF,25,12,12,1060,3,0,1,0,1.2,0.4,11,34,6,0.25,0.00,0.10,0.03,N/a,N/a,N/a,N/a,36.4,0.34,0.27,15.1,349,79.0,6831,88.7,85.2,51.2,4,27,2,1,34,11,0.93,0,0.00,20,16,23,11,19,9,10,19,594,66,275,276,51,14,10,60.0,20.0,278,661,11,9,1,4,7,317,6,10,15,1,7,56,22,19,53.7
